policy_name,pd_min,pd_max,requested_amount_min,requested_amount_max,preapproved_product,approval_rate,learning_population,term,guarantee,interest_rate,product,Addiflex Version,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",CUPO,100.00%,FALSE,1,0.00%,0.00%,CUPO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",CUPO,100.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",CUPO,100.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",CUPO,100.00%,FALSE,4,0.00%,99.99%,CUPO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",CUPO,100.00%,FALSE,5,0.00%,99.99%,CUPO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",CUPO,100.00%,FALSE,6,0.00%,99.99%,CUPO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",INTRO,100.00%,FALSE,4,9.29%,99.99%,INTRO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",INTRO,100.00%,FALSE,5,9.29%,99.99%,INTRO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$20,000,001.00",INTRO,100.00%,FALSE,6,9.29%,99.99%,INTRO,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$50,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,43.00%,"$50,000.00","$300,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,43.00%,100.00%,"$50,000.00","$300,001.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,30.00%,"$300,001.00","$450,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,30.00%,100.00%,"$300,001.00","$450,001.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,26.00%,"$450,001.00","$600,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,26.00%,100.00%,"$450,001.00","$600,001.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,20.00%,"$600,001.00","$1,500,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,20.00%,100.00%,"$600,001.00","$1,500,001.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,"$1,500,001.00","$20,000,001.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,100.00%,$0.00,"$50,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,43.00%,"$50,000.00","$300,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,43.00%,100.00%,"$50,000.00","$300,001.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,30.00%,"$300,001.00","$450,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,30.00%,100.00%,"$300,001.00","$450,001.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,26.00%,"$450,001.00","$600,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,26.00%,100.00%,"$450,001.00","$600,001.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,0.00%,20.00%,"$600,001.00","$1,500,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_0aprfga_policy_standard,20.00%,100.00%,"$600,001.00","$1,500,001.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
