Vertical,valid_from,valid_to,ally_name,policy_name,use_pre_approved_cupo,pd_model_multiplier,pd_model,pd_model_fallback,other_pd_models_to_run,secondary_policy_name,secondary_pd_model,PD_Multiplier_ally,Hardcoded_policy,SMB,,,,,,,,
AUTO-PARTS,,,a2b-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,a2b-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,accemovil-online,rejection_policy_pago,FALSE,1.95,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,rejection_policy_pago,-,0,,,,,#N/A,,ADDI_PAGO_PD_AT_ORIGINATION_V3
OTHERS,,,addi,adelante_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,adelante_policy_pago,-,0,,,,,#N/A,,
OTHERS,,,addi-preapprovals,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,addipago_interest_policy_standard_PLA_FO,-,0,addipago_interest_policy_standard_PLA_FO,,,,#N/A,,
TECH/ELECTRONICS,,,adelante,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,adnbike-online,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,rejection_policy_pago,-,0,,,,,#N/A,,
HOME APPLIANCES,,,alca-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,alelihomedecore-online,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
ELECTIVE MEDICAL SERVICES,,,aline-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,altycom-online,pre_terminating_policy,FALSE,1.56,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.2,pre_terminating_policy,-,0,,,,,#N/A,,
FURNITURE,,,ambiente-g-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,55,,
FURNITURE,,,ambiente-g-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME APPLIANCES,,,americanadecolchones-online,Oddy_medium_risk,FALSE,0.9,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,0.9,-,-,0,,,,,74,,
FURNITURE,,,amoblando-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,animalista-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,animalista-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,antofiamos-online,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,aquitaco-ecommerce,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,aquitaco-online,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
APPAREL,,,arturocalle-ecommerce,addipago_interest_policy_standard_PLA,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,addipago_interest_policy_standard_PLA,-,0,,,,,73,,
APPAREL,,,arturocalle-online,addipago_interest_policy_standard_PLA,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,addipago_interest_policy_standard_PLA,-,0,,,,,72,,
ELECTIVE MEDICAL SERVICES,,,audiocom-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,audiotienda-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
ELECTIVE EDUCATIONAL SERVICES,,,auladeingles-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,autecomobility-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,70,,
ELECTIVE EDUCATIONAL SERVICES,,,avancleyendosas-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,baluzza-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,baluzza-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
FURNITURE,,,basis-online,rejection_policy_pago,FALSE,10,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
APPAREL,,,beautyholicsprebel-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,bellapiel-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,benellibike-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
