valid_from,valid_to,ally_name,min_requested_amount,max_requested_amount,origination_mdf,cancellation_mdf,fraud_mdf,last_config,Same for clients?,Check,,MDF change,New Origination MDF,New Cancellation MDF,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,300hilos,$0,"$20,000,001.00",3.00%,3.00%,3.00%,2021-05-14 08:03:32,Yes,0,,No,3.00%,3.00%,,,,,,,,,,,,,,,
,,3llbydaniellabatlle-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,5conejos-ecommerce,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/31/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,5conejos-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,6dbike-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,11/05/2021,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,a2b-ecommerce,$0,"$20,000,001.00",0.00%,1.50%,1.50%,2021-05-13 17:55:00,Yes,0,,No,0.00%,1.50%,,,,,,,,,,,,,,,
,,a2b-online,$0,"$20,000,001.00",3.00%,1.50%,1.50%,2021-05-13 17:55:00,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,abakocreativo-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/10/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,abakocreativo-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,02/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,abdips-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,05/13/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,abrilfloresmil-ecommerce,$0,"$20,000,001.00",4.90%,2.45%,2.45%,01/25/2022,Yes,0,,No,4.90%,2.45%,,,,,,,,,,,,,,,
,,acboutiqueartesanal-online,$0,"$20,000,001.00",0.00%,1.75%,1.75%,03/28/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
,,accemovil-online,$0,"$20,000,001.00",4.50%,2.25%,2.25%,2021-05-13 17:55:00,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,accesoriosavemaria-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,08/06/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,accesoriosavemaria-online,$0,"$20,000,001.00",0.00%,2.50%,2.50%,08/06/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,addi,"$50,000","$600,000.00",6.50%,3.25%,0.00%,07/31/2023,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,addi-preapprovals,"$10,000","$20,000,001.00",1.50%,0.75%,0.75%,2021-05-13 18:11:48,Yes,0,,No,1.50%,0.75%,,,,,,,,,,,,,,,
,,adelante,$0,"$20,000,001.00",4.50%,3.00%,3.00%,2021-06-10 21:30:32,Yes,0,,No,4.50%,3.00%,,,,,,,,,,,,,,,
,,adkua-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,2021-07-28 13:55:10,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,adnbike-online,$0,"$20,000,001.00",4.50%,2.25%,1.75%,2021-05-27 16:20:49,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,adonabeauty-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/27/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,adonaydistribution-ecommerce,$0,"$20,000,001.00",0.00%,1.95%,1.95%,02/02/2022,Yes,0,,No,0.00%,1.95%,,,,,,,,,,,,,,,
,,adriansstore-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,05/27/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,afrmuebles-ecommerce,$0,"$20,000,001.00",0.00%,1.75%,1.75%,02/03/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
,,afrmuebles-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,02/02/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,agenciadeviajesgrantravel-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,12/09/2021,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,agosolucionesinformaticas-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,01/06/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,agroveterinariaderioagro-online,$0,"$20,000,001.00",5.00%,2.50%,2.00%,,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,aguavivaplazacomercial-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,05/02/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,agybo-ecommerce,$0,"$20,000,001.00",4.90%,2.45%,2.45%,02/02/2022,Yes,0,,No,4.90%,2.45%,,,,,,,,,,,,,,,
,,agybo-vs-online,$0,"$20,000,001.00",3.90%,1.80%,1.80%,12/09/2021,Yes,0,,No,3.90%,1.80%,,,,,,,,,,,,,,,
,,airobag-ecommerce,$0,"$20,000,001.00",0.00%,1.75%,1.75%,03/16/2022,Yes,0,,No,0.00%,1.75%,,,,,,,,,,,,,,,
